th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.5,IQR,0.00018562915647635236,0.5721745984826091,0.44301190112908145,0.8076495132127955,5807,43427,7301,1383
0.5,MAD,0.00012786018354527188,0.48693874460513364,0.3345297544735747,0.8944367176634214,6431,37935,12793,759
0.5,STD,0.00048539438284933567,0.5755288036455145,0.5631571941967257,0.5884561891515995,4231,47446,3282,2959
1,IQR,0.00022518038895213977,0.598330696634117,0.49223588546809083,0.7627260083449235,5484,45071,5657,1706
1,MAD,0.00015376749767310685,0.5381659388646288,0.3922342457033737,0.8570236439499305,6162,41180,9548,1028
1,STD,0.0008343154331669211,0.546744831842024,0.6137859369587807,0.4929068150208623,3544,48498,2230,3646
1.5,IQR,0.0002619560527818976,0.6076419087377515,0.5210301282688674,0.7287899860917941,5240,45911,4817,1950
1.5,MAD,0.0001806909266510047,0.5664706449436036,0.4334611979935084,0.8172461752433936,5876,43048,7680,1314
1.5,STD,0.0012147965317126364,0.49909646329919977,0.6544798013992327,0.40333796940194716,2900,49197,1531,4290
2,IQR,0.00029966361762490124,0.6003736515398059,0.5297245559927682,0.6927677329624479,4981,46306,4422,2209
2,MAD,0.00020711659081862306,0.5876900645698812,0.4697020143166306,0.7848400556328233,5643,44357,6371,1547
2,STD,0.0014485193532891572,0.4768926452076965,0.6744659206510681,0.36884561891515993,2652,49448,1280,4538
