th_factor,method,value,F1,precision,recall,TP,TN,FP,FN

0.5,IQR,0.48521447908918647,0.44326494505120617,0.29605053856292324,0.8817000541418516,6514,35007,15489,874

0.5,MAD,0.48499768187257936,0.441687849517031,0.294615002034634,0.8819707634001083,6516,34895,15601,872

0.5,STD,0.48793131722956046,0.47189940242695316,0.3235959575644829,0.871142393069843,6436,37043,13453,952

1,IQR,0.4854291210830554,0.44445961630367986,0.29717885510818953,0.8811586356253384,6510,35100,15396,878

1,MAD,0.48500432390846876,0.44177768737923323,0.2946949482158202,0.8819707634001083,6516,34901,15595,872

1,STD,0.4936843215926141,0.7588217430914059,0.6882229811611766,0.8455603681645912,6247,47666,2830,1141

1.5,IQR,0.48564376307692436,0.44592186429061,0.29854992657856094,0.8806172171088251,6506,35210,15286,882

1.5,MAD,0.4850109659443581,0.44177768737923323,0.2946949482158202,0.8819707634001083,6516,34901,15595,872

1.5,STD,0.49943732595566775,0.7672027055007247,0.7827066610336573,0.7523010286951813,5558,48953,1543,1830

2,IQR,0.48585840507079336,0.44727510586291175,0.29992151068839745,0.879263670817542,6496,35333,15163,892

2,MAD,0.4850176079802475,0.44186756179432407,0.2947749377968785,0.8819707634001083,6516,34907,15589,872

2,STD,0.50,0.562785721233343,1.0,0.39158094206821875,2893,50496,0,4495

,MAX,0.485,0.44171779141104284,0.29464164594166853,0.8819707634001083,6516,34897,15599,872
