th_factor;method;value;F1;precision;recall;TP;TN;FP;FN
;;;;;;;;;
0,5;IQR;0,648271588;0,561751078;0,463607595;0,712606405;5274;44415;6102;2127
;;;;;;;;;
0,5;MAD;0,465572163;0,503361489;0,369550085;0,789082556;5840;40554;9963;1561
;;;;;;;;;
0,5;STD;0,636068677;0,559848005;0,459340088;0,716659911;5304;44274;6243;2097
;;;;;;;;;
1;IQR;0,781979252;0,551815106;0,479374253;0,650047291;4811;45292;5225;2590
;;;;;;;;;
1;MAD;0,563326904;0,547205401;0,432483327;0,744764221;5512;43284;7233;1889
;;;;;;;;;
1;STD;0,85215535;0,54469092;0,484427609;0,622078098;4604;45617;4900;2797
;;;;;;;;;
1,5;IQR;0,915686916;0,533943275;0,486657772;0,591406567;4377;45900;4617;3024
;;;;;;;;;
1,5;MAD;0,661081644;0,562217924;0,466684506;0,706931496;5232;44538;5979;2169
;;;;;;;;;
1,5;STD;1,068242023;0,514189233;0,49499875;0,534927712;3959;46478;4039;3442
;;;;;;;;;
2;IQR;1,049394579;0,516195638;0,494010127;0,540467504;4000;46420;4097;3401
;;;;;;;;;
2;MAD;0,758836385;0,555838281;0,477926877;0,664099446;4915;45148;5369;2486
;;;;;;;;;
2;STD;1,284328696;0,496268131;0,518159094;0,476151871;3524;47240;3277;3877
;;;;;;;;;
;MAX;22,29737447;0,022607781;0,415458937;0,011620051;86;50396;121;7315
